name,company,year,Price,kms_driven,fuel_type,car_age,is_luxury,kms_per_year
Hyundai Santro Xing,Hyundai,2007,11.289794413577894,10.714439990727769,Petrol,13,0,3214.285714285714
Mahindra Jeep CL550,Mahindra,2006,12.959846800844963,3.713572066704308,Diesel,14,0,2.6666666666666665
Maruti Suzuki Alto,Maruti,2018,,9.99884318585288,Petrol,2,0,7333.333333333333
Hyundai Grand i10,Hyundai,2014,12.691583538230217,10.239995502805316,Petrol,6,0,4000.0
Ford EcoSport Titanium,Ford,2014,13.26212705890841,10.491301994830229,Diesel,6,0,5142.857142857143
Ford EcoSport Titanium,Ford,2015,,10.985309671896763,Diesel,5,0,9833.333333333334
Ford Figo,Ford,2012,12.07254696717504,10.62135173563291,Diesel,8,0,4555.555555555556
Hyundai Eon,Hyundai,2013,12.154784614286667,10.12667110305036,Petrol,7,0,3125.0
Ford EcoSport Ambiente,Ford,2016,13.629182184591333,10.107692902830086,Diesel,4,0,4906.0
Maruti Suzuki Alto,Maruti,2015,12.429220196836383,11.002116507732017,Petrol,5,0,10000.0
Skoda Fabia Classic,Skoda,2010,12.111767460549332,11.002116507732017,Petrol,10,0,5454.545454545455
Maruti Suzuki Stingray,Maruti,2015,12.660331092405906,10.308985993422082,Petrol,5,0,5000.0
Hyundai Elite i20,Hyundai,2014,12.936036208848487,10.373522431293592,Petrol,6,0,4571.428571428572
Mahindra Scorpio SLE,Mahindra,2015,12.676079399771027,10.792633166886727,Diesel,5,0,8110.0
Audi A8,Audi,2017,13.815511557963774,8.294299608857235,Petrol,3,1,1000.0
Audi Q7,Audi,2014,13.122365377402328,9.737137765251871,Diesel,6,1,2419.1428571428573
Mahindra Scorpio S10,Mahindra,2016,12.765691290604371,10.668978650219241,Diesel,4,0,8600.0
Maruti Suzuki Alto,Maruti,2014,11.982935344196433,10.47872356423098,Petrol,6,0,5078.571428571428
Mahindra Scorpio S10,Mahindra,2016,12.644330802262578,10.584638059911889,Diesel,4,0,7904.4
Maruti Suzuki Alto,Maruti,2015,11.225256725762893,10.571342565808699,Petrol,5,0,6500.0
Hyundai i20 Sportz,Hyundai,2012,11.51293546492023,10.915106645867503,Petrol,8,0,6111.111111111111
Maruti Suzuki Alto,Maruti,2017,12.154784614286667,11.184435286790631,Petrol,3,0,18000.0
Maruti Suzuki Vitara,Maruti,2016,12.577639650232573,9.67884287509565,Diesel,4,0,3195.0
Maruti Suzuki Alto,Maruti,2008,11.461642696843066,11.156264806643742,Petrol,12,0,5384.615384615385
Mahindra Bolero DI,Mahindra,2017,12.100717685412471,10.062753697461577,Diesel,3,0,5863.0
Maruti Suzuki Swift,Maruti,2014,12.861001210669146,10.477935652999067,Diesel,6,0,5074.571428571428
Mahindra Scorpio S10,Mahindra,2015,12.429220196836383,10.789504626720456,Diesel,5,0,8084.666666666667
Maruti Suzuki Swift,Maruti,2017,12.100717685412471,9.64782080951636,Petrol,3,0,3871.75
Maruti Suzuki Wagon,Maruti,2013,11.561725152903833,10.571342565808699,Petrol,7,0,4875.0
Maruti Suzuki Wagon,Maruti,2013,11.561725152903833,10.571342565808699,Petrol,7,0,4875.0
Toyota Innova 2.0,Toyota,2012,13.384729180332174,11.314486721293981,Diesel,8,0,9111.111111111111
Renault Lodgy 85,Renault,2018,13.444446876573442,9.90353755128617,Diesel,2,0,6666.666666666667
Skoda Yeti Ambition,Skoda,2012,13.012550743537489,11.127277689932466,Diesel,8,0,7555.555555555556
Maruti Suzuki Baleno,Maruti,2017,13.215855541983634,10.373522431293592,Diesel,3,0,8000.0
Renault Duster 110,Renault,2012,13.124363376072994,10.545367754151743,Diesel,8,0,4222.222222222223
Renault Duster 85,Renault,2013,13.102160670086809,10.203629181337648,Diesel,7,0,3375.0
Honda City 1.5,Honda,2011,12.54254845357358,10.404293143019792,Petrol,9,0,3300.0
Maruti Suzuki Dzire,Maruti,2013,12.765688433465597,10.736418414365376,Diesel,7,0,5750.0
Honda Amaze,Honda,2013,12.560244459250788,10.736418414365376,Diesel,7,0,5750.0
Honda Amaze 1.5,Honda,2015,12.75130259456002,10.491301994830229,Diesel,5,0,6000.0
Honda City,Honda,2015,13.122363377404328,10.915106645867503,Petrol,5,0,9166.666666666666
Datsun Redi GO,Datsun,2017,12.367345048436391,9.680406499268875,Petrol,3,0,4000.0
Maruti Suzuki SX4,Maruti,2010,12.429216196844383,10.491301994830229,Petrol,10,0,3272.7272727272725
Mitsubishi Pajero Sport,Mitsubishi,2015,14.204169225721929,10.757924157061597,Diesel,5,0,7833.333333333333
Mahindra Scorpio S10,Mahindra,2015,12.886643575525625,10.463131911491967,Diesel,5,0,5833.333333333333
Maruti Suzuki Swift,Maruti,2017,12.301387370778713,10.337702073930279,Petrol,3,0,7718.5
Honda City ZX,Honda,2017,12.04355959836804,9.61587214452889,Diesel,3,0,3750.0
Maruti Suzuki Wagon,Maruti,2013,11.350418300109132,10.29843083318471,Petrol,7,0,3710.625
Tata Indigo eCS,Tata,2017,12.206077645517674,11.775297421715827,Diesel,3,0,32500.0
Mahindra Scorpio SLE,Mahindra,2012,13.25339339419516,9.852246888342531,Diesel,8,0,2111.1111111111113
Volkswagen Polo Highline,Volkswagen,2014,12.660331092405906,11.002116507732017,Petrol,6,0,8571.42857142857
Chevrolet Spark LS,Chevrolet,2010,11.608244735642321,10.62135173563291,Petrol,10,0,3727.2727272727275
Renault Duster 110PS,Renault,2012,13.124363376072994,10.463131911491967,Diesel,8,0,3888.8888888888887
Honda City,Honda,2015,13.01477816672439,10.896757843893464,Petrol,5,0,9000.0
Mini Cooper S,Mini,2013,14.452675573808426,9.472781556562168,Petrol,7,1,1625.0
Skoda Fabia 1.2L,Skoda,2011,11.979805470779858,10.5506169722625,Diesel,9,0,3820.0
Honda Amaze,Honda,2015,12.751299696013497,9.99884318585288,Petrol,5,0,3666.6666666666665
Renault Duster,Renault,2014,13.017002861746503,10.819798284210286,Diesel,6,0,7142.857142857143
Mini Cooper S,Mini,2013,14.452675573808426,9.510519035757246,Petrol,7,1,1687.5
Mahindra Scorpio S4,Mahindra,2015,13.670485941982712,10.308985993422082,Diesel,5,0,5000.0
Mahindra Scorpio VLX,Mahindra,2014,13.457407451830088,10.819798284210286,Diesel,6,0,7142.857142857143
Mahindra Quanto C8,Mahindra,2013,12.834683971615659,9.90353755128617,Diesel,7,0,2500.0
Ford EcoSport,Ford,2017,13.102160670086809,10.571342565808699,Petrol,3,0,9750.0
Honda Brio,Honda,2012,12.323855681186558,10.308985993422082,Petrol,8,0,3333.3333333333335
Volkswagen Vento Highline,Volkswagen,2019,13.997832948091215,8.188966863648876,Diesel,1,0,1800.0
Hyundai i20 Magna,Hyundai,2009,12.180759965737863,10.373522431293592,Petrol,11,0,2666.6666666666665
Toyota Corolla Altis,Toyota,2010,12.768544351446794,10.545367754151743,Diesel,10,0,3454.5454545454545
Hyundai Verna Transform,Hyundai,2008,11.982935344196433,10.714439990727769,Petrol,12,0,3461.5384615384614
Toyota Corolla Altis,Toyota,2009,12.388398368982115,10.463131911491967,Petrol,11,0,2916.6666666666665
Honda City 1.5,Honda,2005,11.407576060361786,10.819798284210286,Petrol,15,0,3125.0
Skoda Fabia 1.2L,Skoda,2011,11.951186847493476,10.73343577458822,Diesel,9,0,4586.3
BMW 3 Series,Bmw,2011,13.304686600863562,11.010415172807951,Petrol,9,1,6050.0
Maruti Suzuki A,Maruti,2011,12.15214958053555,9.433563920090563,Petrol,9,0,1250.0
